p,Sigma (σ)
0.0,0.0
0.02564102564102564,0.0
0.05128205128205128,0.0
0.07692307692307693,0.0
0.10256410256410256,0.0
0.1282051282051282,3.7912008006542205e-25
0.15384615384615385,1.8956004003271103e-25
0.1794871794871795,3.159334000545184e-25
0.20512820512820512,2.527467200436147e-25
0.23076923076923075,1.6428536802834956e-24
0.2564102564102564,2.508415940131352e-24
0.28205128205128205,3.285707360566991e-24
0.3076923076923077,3.492731055879097e-24
0.3333333333333333,6.571414721133982e-24
0.358974358974359,7.076908161221212e-24
0.3846153846153846,1.345876284232248e-23
0.41025641025641024,1.9019190683282006e-23
0.4358974358974359,3.228839348557178e-23
0.4615384615384615,4.7832316768254085e-23
0.48717948717948717,7.550808261302989e-23
0.5128205128205128,8.081576373394579e-23
0.5384615384615384,1.424859634245878e-22
0.5641025641025641,1.4261233678460958e-22
0.5897435897435898,2.8986889455002064e-22
0.6153846153846154,3.7577118602484415e-22
0.641025641025641,4.2087409223343123e-22
0.6666666666666666,8.660366362294456e-22
0.6923076923076923,9.494746471838441e-22
0.717948717948718,1.0525637156216335e-21
0.7435897435897436,1.195460392466292e-21
0.7692307692307692,1.3537190530577222e-21
0.7948717948717948,1.5929993897548926e-21
0.8205128205128205,1.993476567664e-21
0.8461538461538461,1.9289401058605016e-21
0.8717948717948718,2.3658356729682556e-21
0.8974358974358974,2.4709151218263884e-21
0.923076923076923,2.813680634415185e-21
0.9487179487179487,2.678925672422283e-21
0.9743589743589743,2.737246978072347e-21
1.0,3.178795497988542e-21
