p,Sigma (σ)
0.0,0.0
0.02564102564102564,0.0
0.05128205128205128,0.0
0.07692307692307693,6.318668001090368e-26
0.10256410256410256,0.0
0.1282051282051282,2.527467200436147e-25
0.15384615384615385,2.527467200436147e-25
0.1794871794871795,5.054934400872294e-25
0.20512820512820512,1.2637336002180735e-24
0.23076923076923075,1.4532936402507846e-24
0.2564102564102564,2.906587280501569e-24
0.28205128205128205,3.538454080610606e-24
0.3076923076923077,2.7802139204797618e-24
0.3333333333333333,1.0425802201799106e-23
0.358974358974359,7.519214921297537e-24
0.3846153846153846,1.7818643763074836e-23
0.41025641025641024,2.4832365244285144e-23
0.4358974358974359,3.7343327886444074e-23
0.4615384615384615,4.6104049937604087e-23
0.48717948717948717,8.628141155488897e-23
0.5128205128205128,1.2375111280135484e-22
0.5384615384615384,1.7806006427072655e-22
0.5641025641025641,1.822303851514462e-22
0.5897435897435898,2.988414031115689e-22
0.6153846153846154,4.507737751977868e-22
0.641025641025641,4.187381284322586e-22
0.6666666666666666,7.169476647437185e-22
0.6923076923076923,8.368759834044137e-22
0.717948717948718,1.11437171942848e-21
0.7435897435897436,1.5336670972246542e-21
0.7692307692307692,1.4279557815664122e-21
0.7948717948717948,1.6571970566459704e-21
0.8205128205128205,1.7084414541348136e-21
0.8461538461538461,1.958218400217916e-21
0.8717948717948718,2.107654898443703e-21
0.8974358974358974,2.5197584254748164e-21
0.923076923076923,2.6010164959688386e-21
0.9487179487179487,2.7918402696017678e-21
0.9743589743589743,2.7644804371570465e-21
1.0,3.194007294299911e-21
