p,Sigma (σ)
0.0,0.0
0.02564102564102564,0.0
0.05128205128205128,0.0
0.07692307692307693,6.318668001090368e-26
0.10256410256410256,1.8956004003271103e-25
0.1282051282051282,0.0
0.15384615384615385,0.0
0.1794871794871795,3.1752100507991797e-25
0.20512820512820512,1.706040360294399e-24
0.23076923076923075,2.4642805204252434e-24
0.2564102564102564,2.5906538804470504e-24
0.28205128205128205,4.423067600763257e-24
0.3076923076923077,2.8434006004906654e-24
0.3333333333333333,8.5933884814829e-24
0.358974358974359,1.0173055481755491e-23
0.3846153846153846,1.345876284232248e-23
0.41025641025641024,1.9524684123369233e-23
0.4358974358974359,4.356721586751808e-23
0.4615384615384615,3.7596074606487686e-23
0.48717948717948717,8.509562936141802e-23
0.5128205128205128,1.2738434690198182e-22
0.5384615384615384,1.306700542625488e-22
0.5641025641025641,2.2535529425888793e-22
0.5897435897435898,3.364374777180566e-22
0.6153846153846154,4.387683059957151e-22
0.641025641025641,5.430263280137061e-22
0.6666666666666666,6.774875830769092e-22
0.6923076923076923,9.87228688490359e-22
0.717948717948718,1.1664892996812928e-21
0.7435897435897436,1.2502116506957401e-21
0.7692307692307692,1.533035230424545e-21
0.7948717948717948,1.6947299445724475e-21
0.8205128205128205,1.9063421359289636e-21
0.8461538461538461,1.930019677277773e-21
0.8717948717948718,2.307893487398257e-21
0.8974358974358974,2.10045161692246e-21
0.923076923076923,2.5001073679914258e-21
0.9487179487179487,2.36337139244783e-21
0.9743589743589743,2.9189086831036953e-21
1.0,3.1670427755065137e-21
