p,Sigma (σ)
0.0,6.6866498491368664e-21
0.05263157894736842,5.027847850818619e-21
0.10526315789473684,4.2063609833308615e-21
0.15789473684210525,3.1917693030617807e-21
0.21052631578947367,2.6726022654201916e-21
0.2631578947368421,2.741455210961073e-21
0.3157894736842105,2.7699460849779893e-21
0.3684210526315789,2.9701736162635414e-21
0.42105263157894735,3.3524261759905045e-21
0.47368421052631576,6.451600138497307e-21
0.5263157894736842,1.3093139437107389e-20
0.5789473684210527,2.913271009546422e-20
0.631578947368421,7.74935944996785e-20
0.6842105263157894,1.0831359746747788e-19
0.7368421052631579,3.1958529950042048e-19
0.7894736842105263,5.285286639956473e-19
0.8421052631578947,1.0342543404065887e-18
0.894736842105263,1.1015268338526984e-18
0.9473684210526315,1.3580768660038586e-18
1.0,1.4683689963891777e-18
