p,Sigma (σ)
0.0,1.6327271504179655e-20
0.05263157894736842,6.659976059751696e-21
0.10526315789473684,3.3826898155018064e-21
0.15789473684210525,1.662043626650839e-21
0.21052631578947367,8.78329326804175e-22
0.2631578947368421,6.306993124598113e-22
0.3157894736842105,5.6019389622594865e-22
0.3684210526315789,5.605484493248259e-22
0.42105263157894735,6.0664035217885955e-22
0.47368421052631576,9.009194242469213e-22
0.5263157894736842,3.0449526635999412e-21
0.5789473684210527,3.848673888311818e-21
0.631578947368421,1.0537672651728747e-20
0.6842105263157894,3.71359928772815e-20
0.7368421052631579,9.265789385170899e-20
0.7894736842105263,2.78687852797151e-19
0.8421052631578947,6.749315843102342e-19
0.894736842105263,1.0581908215857945e-18
0.9473684210526315,1.3321977124202408e-18
1.0,1.4371465439976262e-18
